"title","n"
"Emojis de Corazones (feat. Los Legendarios)",824
"Tussi",824
"Tyler Herro",821
"Te Mentiría",819
"Daisy",818
"thank u, next",818
"El Incomprendido",815
"Jalebi Baby (Tesher x Jason Derulo)",815
"Permitame",815
"Cristal & МОЁТ",813
"Giants",813
"Unstoppable",813
"Always Remember Us This Way",811
"El Color de Tus Ojos",810
"Rise",809
"Diamonds",808
"Animal",806
"El Diablo",806
"Lose",804
"Brooklyn",799
"Higher Love",799
"Rocket Man (I Think It's Going To Be A Long, Long Time)",798
"Jail",797
"We Don't Talk Anymore (feat. Selena Gomez)",797
"Tapão Na Raba",792
"Airwaves",790
"Black Mamba",789
"Collard Greens",786
"Faded Love",786
"Kill This Love",786
"Mr. Perfectly Fine (Taylor’s Version) (From The Vault)",786
"Magia",779
"Perrito Malvado",776
"Pressure (feat. Tove Lo)",774
"LA FAMA (with The Weeknd)",773
"Colorín Colorado",772
"Madonna",769
"Vibez",768
"Get Out My Head",767
"SORRY PAPI",767
"Extasy",765
"Венера-Юпитер",763
"Element",762
"i n t e r l u d e",762
"Si Me Tomo una Cerveza - Remix",761
"I'm not Pretty",758
"Hot Sauce",757
"3 de La Mañana",756
"Ohne mein Team",755
"Hadal Ahbek",754
"Forever After All",751
"Como Si Nada",750
"Tennessee Whiskey",750
"23 (With Ape Drums)",749
"PANAMÁ",749
"Amor Tóxico",748
"Dancing On Dangerous (feat. Sofía Reyes)",748
"Me Gusta",748
"Otra vez (feat. J Balvin)",747
"白月光与朱砂痣",747
"To the Bone",746
"Снова я напиваюсь",745
"Si Te Pudiera Mentir",743
"Harleys In Hawaii",741
"Чистый - OST «Псих»",740
"She Don't Give a Fo",737
"I Love You 3000",736
"Pasarela",736
"EveryTime I Cry",735
"the remedy for a broken heart (why am I so in love)",735
"Electric Love",733
"masquerade",733
"Unfollow",733
"INFERNO",732
"Положение",732
"ily (i love you baby) (feat. Emilee)",731
"Maldita Foto",731
"SLOW DANCING IN THE DARK",730
"Loverboy",728
"Нету интереса",728
"太陽",728
"Die For You",727
"Locked out of Heaven",727
"CHIMBITA",726
"Salimo de Noche",726
"HAINE&SEX",725
"Cabeza",724
"Mal Acostumbrao",724
"Clash (feat. Stormzy)",723
"LA DROGA",723
"when the party's over",723
"有一種悲傷 - 電影《比悲傷更悲傷的故事》主題曲",723
"Monday",718
"VENT'ANNI",718
"Dancing in the Moonlight",716
"Fly To My Room",716
"El Güero (Feat. Marca MP)",715
"Off My Face",715
"Better",713
"KESI",713
"Las Nenas (feat. La Duraca)",713
"En Mi Cuarto",712
"Don't Stop Me Now - Remastered 2011",710
"Remember (and David Guetta)",710
"Disco Arranhado - Funk Remix",708
"Fairytale",708
"Already Dead",706
"The Motto",705
"Dos Problemas (feat. Big Soto) - Remix",703
"Pumped Up Kicks",703
"Sweet Dreams",703
"Ele É Ele, Eu Sou Eu",702
"Rollin'",702
"Mónaco",700
"Morado",700
"Pistola Remix",700
"On My Mind",698
"Te Mando Flores",698
"Weekend",696
"Don't Say Goodbye (feat. Tove Lo)",691
"Devil Eyes",689
"In Your Eyes (feat. Alida)",689
"Queendom",689
"All I Want - From ""High School Musical: The Musical: The Series""",688
"Brown Eyed Girl",688
"It Will Rain",686
"Lemon Pepper Freestyle (feat. Rick Ross)",686
"Minor",686
"Sultans Of Swing",683
"Take on Me",680
"Anti-Romantic",677
"Detente",676
"Por Mil Noches",676
"Porte Exuberante",676
"Дежавю",676
"0X1=LOVESONG (I Know I Love You) feat. Seori",675
"SÚBELE EL VOLUMEN",675
"Amnesia",674
"Está Dañada",673
"那些你很冒險的夢",673
"Патрон",672
"Scars To Your Beautiful",669
"Sure Thing",667
"Až na měsíc",666
"LO$ER=LO♡ER",666
"Rolls",666
"toxin",666
"Кукла колдуна",666
"Москва любит...",666
"Танцы",666
"Цепи",666
"Я так соскучился",666
"你的答案",666
"嚣张",666
"无人之岛",666
"Combi Nueva",665
"Infinite Tsukuyomi",665
"Cerrando Ciclos",664
"La Seleçao",664
"Это любовь",664
"Tacones Rojos",663
"Инкассатор",663
"Experimento",662
"Fancy Like",662
"如果雨之後",662
"Nunca Es Suficiente",661
"Raggarbil",660
"No Friends In The Industry",658
"ODIUM",658
"Set Fire to the Rain",658
"Я в моменте",658
"Lonely",657
"OTRO FILI",657
"Yamakasi",657
"演員",657
"After Party",656
"Two Moons",656
"Кино",656
"Голодный пёс [prod. by Pretty Scream]",655
"Rozdělený světy",654
"Washing Machine Heart",654
"Lose Yourself - From ""8 Mile"" Soundtrack",653
"100 MILLONES",652
"Iris",652
"Love Yourself",650
"Someday",650
"A La Antigüita",649
"Can I Get It",649
"Stay",645
"M4",644
"Hello",643
"Seguir Viviendo Sin Tu Amor",642
"Shotgun",642
"Conexión",641
"Mil Horas",638
"White Lies",638
"GO (feat. Juice WRLD)",637
"UNA MÁS",636
"Mungkin Hari Ini Esok Atau Nanti",635
"Быстро",635
"Love Your Voice",634
"Vida Louca",633
"Дурак и молния",632
"His & Hers (feat. Don Toliver, Lil Uzi Vert & Gunna)",631
"Poco",631
"以後別做朋友",631
"四季予你",630
"E-GIRLS ARE RUINING MY LIFE!",628
